filename,width,height,class,xmin,ymin,xmax,ymax
Tomato_Fresh3694_jpg.rf.9306b27aa5af990f797d62b46aec1fd8.jpg,193,198,TomatoFresh,9,13,191,191
Tomato_Fresh3750_jpg.rf.96d85ee61bacbdcacc14f54ca7d9401b.jpg,193,193,TomatoFresh,17,20,169,175
Tomato_Fresh3758_jpg.rf.99afe76d81c26ab68d378b29f0e334e9.jpg,193,193,TomatoFresh,13,20,184,188
Tomato_Fresh5782_jpg.rf.9c7822e299daedfe65cefd5b8478aef6.jpg,193,200,TomatoFresh,4,38,193,193
Tomato_Fresh2717_jpg.rf.991b6d02650b309393bda797981c003f.jpg,193,178,TomatoFresh,11,2,183,162
Tomato_Fresh5747_jpg.rf.9b1a7fab9215d59d53d95f027b1243af.jpg,193,183,TomatoFresh,31,43,168,172
Tomato_Fresh2777_jpg.rf.93cf587ace17bc1127fa48301fa7d693.jpg,193,161,TomatoFresh,31,11,169,142
Tomato_Fresh5768_jpg.rf.9c40f12dede439f2e36f025331129cdb.jpg,193,178,TomatoFresh,4,21,168,171
Tomato_Fresh2780_jpg.rf.965a9d8b991b2084bd2b0a05edbb0516.jpg,193,144,TomatoFresh,19,0,182,144
Tomato_Fresh2687_jpg.rf.9c7e4127480cc28febb67fb7eaeaa9d9.jpg,159,159,TomatoFresh,11,1,148,142
Tomato_Fresh3633_jpg.rf.995f9b37978758e7011a2f17be5efe69.jpg,193,193,TomatoFresh,23,28,173,169
Tomato_Fresh4772_jpg.rf.a010554fce8d30f9c90c8ee53162e7f1.jpg,193,144,TomatoFresh,11,12,182,144
Tomato_Fresh4646_jpg.rf.9fa7d6f69569d411d0ee267af260211f.jpg,193,193,TomatoFresh,23,21,174,183
Tomato_Fresh5719_jpg.rf.97215a9293a9f71458dd1fa1cdad7ffb.jpg,193,183,TomatoFresh,42,53,167,148
Tomato_Fresh4761_jpg.rf.9fe4ebc41a3533d70138e6fde74d3f0d.jpg,193,169,TomatoFresh,28,10,175,150
Tomato_Fresh26091-2-_jpg.rf.a17b283774db7e0271827f6d9d3e8b62.jpg,192,192,TomatoFresh,24,25,170,172
Tomato_Fresh26091-2-_jpg.rf.a17b283774db7e0271827f6d9d3e8b62.jpg,192,192,TomatoFresh,19,14,178,175
Tomato_Fresh2663_jpg.rf.9cf0504956f6911e65c6c9cbccc79085.jpg,193,220,TomatoFresh,7,3,189,200
Tomato_Fresh4780_jpg.rf.a4b52ef1351acabbaab2f1a9a504b5d1.jpg,193,183,TomatoFresh,12,13,184,177
Tomato_Fresh4815_jpg.rf.a414e08ead319e640e667b42a0f0f569.jpg,193,193,TomatoFresh,14,24,172,182
Tomato_Fresh4717_jpg.rf.9e80bca3aa1dd2d6b8a7ef154a3856b5.jpg,193,224,TomatoFresh,4,10,184,204
Tomato_Fresh4680_jpg.rf.a3db1cc1fcef031316044e2c5b1d66b5.jpg,193,144,TomatoFresh,25,7,158,129
Tomato_Fresh4631_jpg.rf.a1694766dda7b2dbab833af01cb131b5.jpg,193,193,TomatoFresh,21,6,176,169
Tomato_Fresh4701_jpg.rf.a61b954b46cc3600af8a49a9ab272d8d.jpg,191,239,TomatoFresh,7,36,180,202
Tomato_Fresh2746_jpg.rf.a62834ee7e2954c915f4eed4d29f7049.jpg,193,193,TomatoFresh,3,21,190,190
Tomato_Fresh5804_jpg.rf.ab2447da252ba6e607ba39064fc37015.jpg,193,174,TomatoFresh,31,31,152,139
Tomato_Fresh4828_jpg.rf.a5e7194872a251acd7d90879f1aa5879.jpg,193,193,TomatoFresh,28,12,169,155
Tomato_Fresh4770_jpg.rf.9d1f972093dbcadb9aa2b54a1e3566ed.jpg,193,193,TomatoFresh,2,19,181,187
Tomato_Fresh2721_jpg.rf.ab6aa30cb8c08ee68e6c1c0253542c07.jpg,193,193,TomatoFresh,8,5,186,178
Tomato_Fresh4733_jpg.rf.a952596e859870b50da7a2cba2a88e57.jpg,193,193,TomatoFresh,9,8,183,183
Tomato_Fresh2723_jpg.rf.a9e6d32ea114fcdabb2bdefc003737a5.jpg,193,197,TomatoFresh,4,4,177,182
Tomato_Fresh2670_jpg.rf.a758c95bf11a737741ca69cc3cde2e83.jpg,193,177,TomatoFresh,13,5,180,153
Tomato_Fresh3686_jpg.rf.a8d7c07f7474e8fa29ad8e91f6288911.jpg,193,193,TomatoFresh,22,14,170,171
Tomato_Fresh2741_jpg.rf.b1ed01a963cf24d70f40d5973a216d78.jpg,193,153,TomatoFresh,35,2,177,141
Tomato_Fresh4662_jpg.rf.a183ba552b09355014beaf467a82b362.jpg,193,193,TomatoFresh,28,23,190,193
Tomato_Fresh5746_jpg.rf.b38068ab8c031f76e3fbfdc8bbd747c9.jpg,193,193,TomatoFresh,5,29,174,177
Tomato_Fresh3652_jpg.rf.a8f0bc0e70e6324b9fdd6e3335e2a878.jpg,193,193,TomatoFresh,5,9,190,190
Tomato_Fresh4773_jpg.rf.b11db401aa3ab6811ac1dc6842e5a746.jpg,193,144,TomatoFresh,50,17,171,131
Tomato_Fresh2762_jpg.rf.b35526ff75edcd99470b1b84a7bd3ae2.jpg,193,192,TomatoFresh,14,9,179,174
Tomato_Fresh5738_jpg.rf.b3c1f9abb94c9988671615d8aaf1b5e0.jpg,193,117,TomatoFresh,26,16,152,117
Tomato_Fresh2653_jpg.rf.a7c9e9357b708173734f07eac4831381.jpg,193,193,TomatoFresh,0,3,193,193
Tomato_Fresh2778_jpg.rf.a6c6489ccd72388d4707ec1c8c1084fc.jpg,193,178,TomatoFresh,17,6,178,148
Tomato_Fresh5741_jpg.rf.b5f5243f575ebf99aed5dfe4089f9e94.jpg,193,193,TomatoFresh,11,31,180,179
Tomato_Fresh3650_jpg.rf.b1b499004b09a2a15abfae38d325915e.jpg,193,193,TomatoFresh,3,15,191,189
Tomato_Fresh2784_jpg.rf.b6d4501260e7ea8a6f3cd8c2c555db96.jpg,193,159,TomatoFresh,31,9,177,145
Tomato_Fresh4686_jpg.rf.afea1949fc07d471ac31f52725d22b77.jpg,193,193,TomatoFresh,16,29,176,184
Tomato_Fresh4813_jpg.rf.b9c6a735fab5f10822e66d2215a6cbdf.jpg,193,144,TomatoFresh,19,7,170,127
Tomato_Fresh2692_jpg.rf.bba7d584e21c9b1fe15b679d7398fe8c.jpg,193,231,TomatoFresh,9,24,167,202
Tomato_Fresh5729_jpg.rf.a4d9acc8dfd76a57b83a6af1c326628a.jpg,193,193,TomatoFresh,11,32,193,174
Tomato_Fresh3609_jpg.rf.b4e4c52bccbf85e78fa47b71e47b0b3c.jpg,193,193,TomatoFresh,20,3,181,171
Tomato_Fresh5716_jpg.rf.b56f82c002e87412ebc350f3aa81affe.jpg,193,183,TomatoFresh,14,23,176,152
Tomato_Fresh3657_jpg.rf.bc5dcd62897564e19e84caba0cc72656.jpg,177,177,TomatoFresh,1,15,177,173
Tomato_Fresh3608_jpg.rf.ba9835619bcf1ef491f6a7704ea4611d.jpg,193,145,TomatoFresh,14,3,181,144
Tomato_Fresh2675_jpg.rf.bc1e11772d36cd34ab28db462959f74f.jpg,193,188,TomatoFresh,6,15,172,174
Tomato_Fresh5608_jpg.rf.afd16d58da0a3e30ec4d7ed3f9d95024.jpg,193,193,TomatoFresh,7,25,189,188
Tomato_Fresh2806_jpg.rf.bce1d80c3f1b5e104d7744ba5962f28e.jpg,193,204,TomatoFresh,18,20,180,178
Tomato_Fresh4650_jpg.rf.b7b7f53f59e7592e26cad8670240347d.jpg,193,208,TomatoFresh,9,15,183,192
Tomato_Fresh5622_jpg.rf.b3e6437f20dbd3578a2026a88ea52712.jpg,193,193,TomatoFresh,10,20,185,178
Tomato_Fresh3747_jpg.rf.bb58ec201c5e63bba001959a48c3da26.jpg,193,202,TomatoFresh,16,25,184,196
Tomato_Fresh4714_jpg.rf.b9672f6fa123b450cefb76ccbd34c51b.jpg,193,191,TomatoFresh,5,9,181,176
Tomato_Fresh3669_jpg.rf.b39d2ce89aca6af980c98af85094c6b1.jpg,193,183,TomatoFresh,7,6,187,166
Tomato_Fresh2685_jpg.rf.ba406f2d1fef37c5734c944d9f73409e.jpg,193,144,TomatoFresh,26,1,182,142
Tomato_Fresh2668_jpg.rf.ba498f62bf0e08f98e24b4ef30be4b66.jpg,193,202,TomatoFresh,10,8,185,170
Tomato_Fresh2799_jpg.rf.bd3f474fac7d79627773806d0ca01147.jpg,193,188,TomatoFresh,9,12,184,179
Tomato_Fresh3748_jpg.rf.be4375dffd75aae206acbc60582d7049.jpg,193,193,TomatoFresh,17,37,180,188
Tomato_Fresh5721_jpg.rf.a4a40efbfedc64c520a4696fec8932ec.jpg,193,186,TomatoFresh,21,34,171,168
Tomato_Fresh3606_jpg.rf.d0bca2feb5393ab69a7bec496204f65a.jpg,193,136,TomatoFresh,18,2,177,132
Tomato_Fresh2738_jpg.rf.d177bb7acb85d7bfef142225d9183b7b.jpg,193,154,TomatoFresh,18,7,169,150
Tomato_Fresh4738_jpg.rf.d236c858f65d846a40147d960855af8b.jpg,193,258,TomatoFresh,0,76,168,257
Tomato_Fresh5744_jpg.rf.d06bcfffc628a5543d6ed1579094ceb8.jpg,193,191,TomatoFresh,10,35,185,172
Tomato_Fresh2662_jpg.rf.c53d569246e593a75372fd4c09a1ac44.jpg,193,193,TomatoFresh,12,12,181,179
Tomato_Fresh2764_jpg.rf.d215227e66ff51ac4ba8cae553a46b1e.jpg,193,131,TomatoFresh,15,14,160,124
Tomato_Fresh4615_jpg.rf.cc24aa5c0d957161341c8e73a383ee11.jpg,193,144,TomatoFresh,14,9,159,136
Tomato_Fresh5615_jpg.rf.c6aefd4efddb1b7730e06e97a95a6687.jpg,193,193,TomatoFresh,4,29,189,180
Tomato_Fresh2787_jpg.rf.c94c0309400074e36c5c2e6a9aee0c83.jpg,193,206,TomatoFresh,7,20,187,187
Tomato_Fresh5626_jpg.rf.ced15993740d86b116978b588f915288.jpg,193,193,TomatoFresh,8,31,184,178
Tomato_Fresh3619_jpg.rf.d28aace46767e6aa93e9c129cb19d96e.jpg,193,144,TomatoFresh,30,11,156,132
Tomato_Fresh4699_jpg.rf.cad1baad7da9ae97dd6e2d4372df11a5.jpg,193,193,TomatoFresh,0,18,188,193
Tomato_Fresh3701_jpg.rf.cb1f1027951ffb905ae57ee7d0bd45d2.jpg,193,193,TomatoFresh,18,19,184,177
Tomato_Fresh5623_jpg.rf.c21d4c33974ca04ca63f7d7d1c801cb5.jpg,193,200,TomatoFresh,1,17,193,200
Tomato_Fresh3723_jpg.rf.d2c4b125e59554e83678bed287060a6f.jpg,193,189,TomatoFresh,19,18,179,171
Tomato_Fresh26091-5-_jpg.rf.cc420db9c89b17addae910a0c71754bc.jpg,193,193,TomatoFresh,0,1,193,179
Tomato_Fresh3618_jpg.rf.d521c561c1fc4b001d7e30693f0577d2.jpg,193,128,TomatoFresh,18,2,174,125
Tomato_Fresh4768_jpg.rf.bcfbd4fec14b241ea7cfd958e0fb58ef.jpg,193,193,TomatoFresh,9,25,177,177
Tomato_Fresh4693_jpg.rf.c924af6e91b28f0659830c9d88795961.jpg,193,193,TomatoFresh,8,30,165,181
Tomato_Fresh4730_jpg.rf.d55c71c44ef7971bdecfa00e83c5bf2e.jpg,193,193,TomatoFresh,18,12,181,185
Tomato_Fresh26091-17-_jpg.rf.d3912607dae05bfd8ada55fa093e66a5.jpg,193,193,TomatoFresh,8,7,185,169
Tomato_Fresh4736_jpg.rf.bf44a86c879d47d733d1c736be9ed425.jpg,193,144,TomatoFresh,28,4,172,129
Tomato_Fresh5708_jpg.rf.d4e29609723ea8889898c73705976eff.jpg,193,210,TomatoFresh,7,55,169,203
Tomato_Fresh4817_jpg.rf.c1f77cbf4ae2921efd2194ab6f172963.jpg,193,129,TomatoFresh,27,10,146,127
Tomato_Fresh4818_jpg.rf.d57e53241dd3c394d4abc546905f3152.jpg,193,270,TomatoFresh,3,42,193,250
Tomato_Fresh5663_jpg.rf.d3adec741d367b288b9f4dcdf04d5751.jpg,193,179,TomatoFresh,22,41,178,162
Tomato_Fresh2843_jpg.rf.d4b90b84c3fbb45abb2df3646721d76c.jpg,193,203,TomatoFresh,22,26,193,196
